EmployeeKey	ParentEmployeeKey	EmployeeNationalIDAlternateKey	ParentEmployeeNationalIDAlternateKey
112	NULL	295847284	NULL
4	3	112457891	509647174
5	3	112457891	509647174
11	3	695256908	509647174
13	3	998320692	509647174
162	3	134969118	509647174
267	3	974026903	509647174
271	3	42487730	509647174
274	3	56920285	509647174
275	7	222969461	24756624
276	7	52541318	24756624
207	7	243322160	24756624
2	7	253022876	24756624
48	7	95958330	24756624
109	7	767955365	24756624
122	7	72636981	24756624
273	7	323403273	24756624
125	9	458159238	309738752
78	9	339712426	309738752
86	9	693325305	309738752
39	9	276751903	309738752
198	9	500412746	309738752
160	9	66073987	309738752
3	14	509647174	245797967
31	16	571658797	233069302
69	16	843479922	233069302
104	16	827686041	233069302
121	16	92096924	233069302
157	16	652535724	233069302
191	16	10708100	233069302
217	18	442121106	446466105
161	18	999440576	446466105
166	18	788456780	446466105
179	18	754372876	446466105
239	18	6298838	446466105
251	18	461786517	446466105
132	18	948320468	446466105
140	18	410742000	446466105
91	18	750246141	446466105
82	18	330211482	446466105
59	18	801758002	446466105
1	18	14417807	446466105
55	20	36151748	494170342
247	20	414476027	494170342
223	20	537092325	494170342
230	20	834186596	494170342
258	20	582347317	494170342
259	20	8066363	494170342
178	20	752513276	494170342
212	20	63179277	494170342
214	23	634335025	277173473
204	23	398223854	277173473
188	23	60114406	277173473
189	23	33237992	277173473
186	23	862951447	277173473
201	23	332349500	277173473
177	23	578935259	277173473
163	23	551834634	277173473
147	23	319472946	277173473
66	23	7201901	277173473
40	23	630184120	277173473
46	23	685233686	277173473
53	23	370989364	277173473
20	23	494170342	277173473
27	23	360868122	277173473
9	23	309738752	277173473
16	23	233069302	277173473
18	23	446466105	277173473
87	23	521265716	277173473
89	23	750905084	277173473
76	23	778552911	277173473
138	23	386315192	277173473
126	23	712885347	277173473
111	23	45615666	277173473
260	27	561196580	360868122
231	27	717889520	360868122
232	27	801365500	360868122
224	27	455563743	360868122
252	27	393421437	360868122
158	32	416679555	535145551
195	32	476980013	535145551
72	32	619308550	535145551
84	32	264306399	535145551
49	32	332040978	535145551
50	40	857651804	630184120
38	40	113695504	630184120
71	40	54759846	630184120
60	40	415823523	630184120
85	40	981597097	630184120
110	40	342607223	630184120
123	40	563680513	630184120
196	40	334834274	630184120
183	40	599942664	630184120
211	40	211789056	630184120
145	40	398737566	630184120
173	40	222400012	630184120
149	43	131471224	885055826
257	43	343861179	885055826
114	43	381772114	885055826
79	43	403414852	885055826
105	44	671089628	441044382
120	44	643805155	441044382
131	44	929666391	441044382
68	44	525932996	441044382
153	44	314747499	441044382
154	44	858323870	441044382
180	44	58317344	441044382
174	46	470689086	685233686
210	46	368691270	685233686
135	46	981495526	685233686
98	46	621209647	685233686
99	46	621209647	685233686
255	51	879334904	553069203
263	51	28414965	553069203
264	51	153479919	553069203
246	51	646304055	553069203
253	53	988315686	370989364
240	53	943170460	370989364
244	53	697712387	370989364
226	53	1662732	370989364
233	53	413787783	370989364
250	53	947029962	370989364
261	53	58791499	370989364
95	53	769680433	370989364
256	66	82638150	7201901
228	66	294148271	7201901
238	66	390124815	7201901
249	66	90888098	7201901
266	66	826454897	7201901
278	73	895209680	121491555
279	73	895209680	121491555
280	73	895209680	121491555
206	76	912141525	778552911
167	76	370581729	778552911
169	76	152085091	778552911
107	76	204035155	778552911
134	76	153288994	778552911
97	76	431859843	778552911
62	76	674171828	778552911
45	76	718299860	778552911
36	87	586486572	521265716
37	87	337752649	521265716
124	87	584205124	521265716
74	87	420776180	521265716
199	87	652779496	521265716
190	89	1300049	750905084
172	89	578953538	750905084
